pin,slack
CoreUARTapb_0/uUART/make_RX/framing_error_int_2_sqmuxa_0_a4_0_a3:A,17414
CoreUARTapb_0/uUART/make_RX/framing_error_int_2_sqmuxa_0_a4_0_a3:B,16147
CoreUARTapb_0/uUART/make_RX/framing_error_int_2_sqmuxa_0_a4_0_a3:C,17267
CoreUARTapb_0/uUART/make_RX/framing_error_int_2_sqmuxa_0_a4_0_a3:D,17022
CoreUARTapb_0/uUART/make_RX/framing_error_int_2_sqmuxa_0_a4_0_a3:Y,16147
COREABC_0/UROM_UROM/INS_i_a2_i_a2_RNILF6E[1]:A,14053
COREABC_0/UROM_UROM/INS_i_a2_i_a2_RNILF6E[1]:Y,14053
CoreUARTapb_0/uUART/make_TX/txrdy_int_RNO:A,14989
CoreUARTapb_0/uUART/make_TX/txrdy_int_RNO:Y,14989
COREABC_0/ACCUM_NEXT_6_ns_1[3]:A,16042
COREABC_0/ACCUM_NEXT_6_ns_1[3]:B,15773
COREABC_0/ACCUM_NEXT_6_ns_1[3]:C,15712
COREABC_0/ACCUM_NEXT_6_ns_1[3]:D,13438
COREABC_0/ACCUM_NEXT_6_ns_1[3]:Y,13438
CoreUARTapb_0/uUART/make_RX/receive_shift_rx_shift_12[2]:A,16225
CoreUARTapb_0/uUART/make_RX/receive_shift_rx_shift_12[2]:B,17374
CoreUARTapb_0/uUART/make_RX/receive_shift_rx_shift_12[2]:Y,16225
COREABC_0/URAM_UR/UG4_UR8_ram_r1c0/U_RAM64x18/FF_19:EN,
COREABC_0/INSTR_SCMD[1]:ADn,
COREABC_0/INSTR_SCMD[1]:ALn,
COREABC_0/INSTR_SCMD[1]:CLK,13298
COREABC_0/INSTR_SCMD[1]:D,15079
COREABC_0/INSTR_SCMD[1]:EN,
COREABC_0/INSTR_SCMD[1]:LAT,
COREABC_0/INSTR_SCMD[1]:Q,13298
COREABC_0/INSTR_SCMD[1]:SD,
COREABC_0/INSTR_SCMD[1]:SLn,
CoreUARTapb_0/uUART/make_TX/xmit_bit_sel[2]:ADn,
CoreUARTapb_0/uUART/make_TX/xmit_bit_sel[2]:ALn,16293
CoreUARTapb_0/uUART/make_TX/xmit_bit_sel[2]:CLK,16188
CoreUARTapb_0/uUART/make_TX/xmit_bit_sel[2]:D,16218
CoreUARTapb_0/uUART/make_TX/xmit_bit_sel[2]:EN,17134
CoreUARTapb_0/uUART/make_TX/xmit_bit_sel[2]:LAT,
CoreUARTapb_0/uUART/make_TX/xmit_bit_sel[2]:Q,16188
CoreUARTapb_0/uUART/make_TX/xmit_bit_sel[2]:SD,
CoreUARTapb_0/uUART/make_TX/xmit_bit_sel[2]:SLn,
COREABC_0/URAM_UR/UG4_UR8_ram_r1c0/U_RAM64x18/FF_6:EN,16427
COREABC_0/URAM_UR/UG4_UR8_ram_r1c0/U_RAM64x18/FF_6:IPENn,16427
COREABC_0/ACCUMULATOR[7]:ADn,
COREABC_0/ACCUMULATOR[7]:ALn,16293
COREABC_0/ACCUMULATOR[7]:CLK,14500
COREABC_0/ACCUMULATOR[7]:D,13253
COREABC_0/ACCUMULATOR[7]:EN,15890
COREABC_0/ACCUMULATOR[7]:LAT,
COREABC_0/ACCUMULATOR[7]:Q,14500
COREABC_0/ACCUMULATOR[7]:SD,
COREABC_0/ACCUMULATOR[7]:SLn,
COREABC_0/STBACCUM:ADn,
COREABC_0/STBACCUM:ALn,16293
COREABC_0/STBACCUM:CLK,17152
COREABC_0/STBACCUM:D,17029
COREABC_0/STBACCUM:EN,
COREABC_0/STBACCUM:LAT,
COREABC_0/STBACCUM:Q,17152
COREABC_0/STBACCUM:SD,
COREABC_0/STBACCUM:SLn,
SCLO_obuf[0]/U0/U_IOENFF:A,
SCLO_obuf[0]/U0/U_IOENFF:Y,
RX_ibuf/U0/U_IOINFF:A,
RX_ibuf/U0/U_IOINFF:Y,
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/make_xmit_clock_xmit_cntr_3_1_SUM[1]:A,16251
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/make_xmit_clock_xmit_cntr_3_1_SUM[1]:B,17346
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/make_xmit_clock_xmit_cntr_3_1_SUM[1]:Y,16251
COREABC_0/URAM_UR/UG4_UR8_ram_r1c0/U_RAM64x18/FF_8:EN,
COREABC_0/URAM_UR/UG4_UR8_ram_r1c0/U_RAM64x18/FF_8:IPENn,
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/baud_cntr[2]:ADn,
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/baud_cntr[2]:ALn,16293
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/baud_cntr[2]:CLK,13776
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/baud_cntr[2]:D,14402
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/baud_cntr[2]:EN,
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/baud_cntr[2]:LAT,
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/baud_cntr[2]:Q,13776
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/baud_cntr[2]:SD,
CoreUARTapb_0/uUART/make_top_CoreUARTapb_0_Clock_gen/baud_cntr[2]:SLn,
COREABC_0/un1_stbaccum:A,17249
COREABC_0/un1_stbaccum:B,15890
COREABC_0/un1_stbaccum:C,17152
COREABC_0/un1_stbaccum:Y,15890
RX_ibuf/U0/U_IOPAD:PAD,
RX_ibuf/U0/U_IOPAD:Y,
CoreUARTapb_0/uUART/make_TX/tx_byte[4]:ADn,
CoreUARTapb_0/uUART/make_TX/tx_byte[4]:ALn,16293
CoreUARTapb_0/uUART/make_TX/tx_byte[4]:CLK,13896
CoreUARTapb_0/uUART/make_TX/tx_byte[4]:D,18487
CoreUARTapb_0/uUART/make_TX/tx_byte[4]:EN,17058
CoreUARTapb_0/uUART/make_TX/tx_byte[4]:LAT,
CoreUARTapb_0/uUART/make_TX/tx_byte[4]:Q,13896
CoreUARTapb_0/uUART/make_TX/tx_byte[4]:SD,
CoreUARTapb_0/uUART/make_TX/tx_byte[4]:SLn,
COREABC_0/URAM_UR/UG4_UR8_ram_r1c0/U_RAM64x18/FF_9:EN,
COREABC_0/URAM_UR/UG4_UR8_ram_r1c0/U_RAM64x18/FF_9:IPENn,
COREABC_0/URAM_UR/UG4_UR8_ram_r1c0/U_RAM64x18/FF_2:EN,
COREABC_0/SMADDR_12_iv_1_148:A,17329
COREABC_0/SMADDR_12_iv_1_148:B,17308
COREABC_0/SMADDR_12_iv_1_148:C,15520
COREABC_0/SMADDR_12_iv_1_148:D,14971
COREABC_0/SMADDR_12_iv_1_148:Y,14971
CoreUARTapb_0/uUART/make_TX/xmit_cnt_xmit_bit_sel_3_i_o4[1]:A,15155
CoreUARTapb_0/uUART/make_TX/xmit_cnt_xmit_bit_sel_3_i_o4[1]:B,15104
CoreUARTapb_0/uUART/make_TX/xmit_cnt_xmit_bit_sel_3_i_o4[1]:Y,15104
COREABC_0/URAM_UR/UG4_UR8_ram_r1c0/U_RAM64x18/FF_18:EN,
COREABC_0/URAM_UR/UG4_UR8_ram_r1c0/U_RAM64x18/FF_14:EN,
FCCC_0/CCC_INST/IP_INTERFACE_6:A,
FCCC_0/CCC_INST/IP_INTERFACE_6:B,
FCCC_0/CCC_INST/IP_INTERFACE_6:C,
FCCC_0/CCC_INST/IP_INTERFACE_6:IPA,
FCCC_0/CCC_INST/IP_INTERFACE_6:IPC,
COREABC_0/UROM_UROM/INS_0_a2_i_a2_1[4]:A,15209
COREABC_0/UROM_UROM/INS_0_a2_i_a2_1[4]:B,14049
COREABC_0/UROM_UROM/INS_0_a2_i_a2_1[4]:C,15062
COREABC_0/UROM_UROM/INS_0_a2_i_a2_1[4]:D,14838
COREABC_0/UROM_UROM/INS_0_a2_i_a2_1[4]:Y,14049
CoreUARTapb_0/iPRDATA[0]:ADn,
CoreUARTapb_0/iPRDATA[0]:ALn,16293
CoreUARTapb_0/iPRDATA[0]:CLK,17484
CoreUARTapb_0/iPRDATA[0]:D,17382
CoreUARTapb_0/iPRDATA[0]:EN,15890
CoreUARTapb_0/iPRDATA[0]:LAT,
CoreUARTapb_0/iPRDATA[0]:Q,17484
CoreUARTapb_0/iPRDATA[0]:SD,
CoreUARTapb_0/iPRDATA[0]:SLn,
COREABC_0/SMADDR[4]:ADn,
COREABC_0/SMADDR[4]:ALn,16293
COREABC_0/SMADDR[4]:CLK,14103
COREABC_0/SMADDR[4]:D,15030
COREABC_0/SMADDR[4]:EN,15691
