
. Module name, SLE, CFG, ARI1, BUFFER, MACC, RAM1KX18, RAM64X18, GLOBAL, IO
. top, 124, 165, 30, 0, 0, 0, 0, 2, 4
.	. top_COREABC_0_COREABC_19_8_8_2_8_0_2_2_1_4_1_1_1_1_1_1_1_1_1_1_0_1_2_0_1_1_0_0_1_1_0_11_0_1_0_13_32, 36, 72, 16, 0, 0, 0, 0, 1, 0
.	.	. top_COREABC_0_INSTRUCTIONS_8_8_1_8_2_2_58_0_1_0, 0, 9, 0, 0, 0, 0, 0, 0, 0
.	.	. top_COREABC_0_RAMBLOCKS_8_19, 0, 1, 0, 0, 0, 0, 0, 0, 0
.	.	.	. top_COREABC_0_RAM128X8_0, 0, 1, 0, 0, 0, 0, 0, 0, 0
.	. top_CoreUARTapb_0_CoreUARTapb_0_19_0_0_26_1_1_0_0_0, 88, 93, 14, 0, 0, 0, 0, 0, 0
.	.	. top_CoreUARTapb_0_COREUART_19_0_0_0_0, 80, 84, 14, 0, 0, 0, 0, 0, 0
.	.	.	. top_CoreUARTapb_0_Clock_gen_0_0, 19, 11, 14, 0, 0, 0, 0, 0, 0
.	.	.	. top_CoreUARTapb_0_Rx_async_0_0, 33, 48, 0, 0, 0, 0, 0, 0, 0
.	.	.	. top_CoreUARTapb_0_Tx_async_0_0, 19, 22, 0, 0, 0, 0, 0, 0, 0
.	. top_FCCC_0_FCCC, 0, 0, 0, 0, 0, 0, 0, 1, 0
.	. top_OSC_0_OSC, 0, 0, 0, 0, 0, 0, 0, 0, 0
